Provincia A;Provincia B;Movimientos
CIUDAD AUTÓNOMA DE BUENOS AIRES;CÓRDOBA;4768
BUENOS AIRES;CIUDAD AUTÓNOMA DE BUENOS AIRES;3805
CIUDAD AUTÓNOMA DE BUENOS AIRES;MISIONES;3757
CIUDAD AUTÓNOMA DE BUENOS AIRES;MENDOZA;3749
CHUBUT;CIUDAD AUTÓNOMA DE BUENOS AIRES;3605
CIUDAD AUTÓNOMA DE BUENOS AIRES;RÍO NEGRO;3396
CIUDAD AUTÓNOMA DE BUENOS AIRES;NEUQUÉN;3025
CIUDAD AUTÓNOMA DE BUENOS AIRES;SALTA;2889
CIUDAD AUTÓNOMA DE BUENOS AIRES;TUCUMÁN;2500
CIUDAD AUTÓNOMA DE BUENOS AIRES;SANTA CRUZ;2267
CIUDAD AUTÓNOMA DE BUENOS AIRES;TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR;2160
CIUDAD AUTÓNOMA DE BUENOS AIRES;SANTA FÉ;1846
BUENOS AIRES;CÓRDOBA;1281
CHACO;CIUDAD AUTÓNOMA DE BUENOS AIRES;1237
BUENOS AIRES;SANTA FÉ;1093
CIUDAD AUTÓNOMA DE BUENOS AIRES;JUJUY;1074
CIUDAD AUTÓNOMA DE BUENOS AIRES;SAN JUAN;1016
