Grupo;Aeropuerto A;Aeropuerto B
3000;SAME;SASA
2000;SAAR;SARI
2000;SAAR;SAVC
2000;SAAR;SAZN
2000;SAAR;SAZS
2000;SARI;SAVC
2000;SARI;SAZN
2000;SARI;SAZS
2000;SAVC;SAZN
2000;SAVC;SAZS
2000;SAZN;SAZS
1000;SADM;SANT
1000;SADM;SARE
1000;SADM;SAVT
1000;SADM;SAWC
1000;SADM;SAWH
1000;SADM;SAZB
1000;SADM;SAZM
1000;SANT;SARE
1000;SANT;SAVT
1000;SANT;SAWC
1000;SANT;SAWH
1000;SANT;SAZB
1000;SANT;SAZM
1000;SARE;SAVT
1000;SARE;SAWC
1000;SARE;SAWH
1000;SARE;SAZB
1000;SARE;SAZM
1000;SAVT;SAWC
1000;SAVT;SAWH
1000;SAVT;SAZB
1000;SAVT;SAZM
1000;SAWC;SAWH
1000;SAWC;SAZB
1000;SAWC;SAZM
1000;SAWH;SAZB
1000;SAWH;SAZM
1000;SAZB;SAZM
